国A,国B,接続種別
バーレーン,カタール,海峡・近接海域
バーレーン,サウジアラビア,海峡・近接海域
パプアニューギニア,ソロモン諸島,海峡・近接海域
フィジー,サモア,海峡・近接海域
フィジー,ツバル,海峡・近接海域
フィジー,トンガ,海峡・近接海域
フィジー,バヌアツ,海峡・近接海域
フィリピン,パラオ,海峡・近接海域
フィリピン,ベトナム,海峡・近接海域
フィンランド,スウェーデン,陸上隣接
フィンランド,ノルウェー,陸上隣接
フィンランド,ロシア,陸上隣接
フランス,イタリア,陸上隣接
フランス,モナコ,陸上隣接
フランス,ルクセンブルク,陸上隣接
ブラジル,ウルグアイ,陸上隣接
ブラジル,ガイアナ,陸上隣接
ブラジル,コロンビア,陸上隣接
ブラジル,スリナム,陸上隣接
ブラジル,パラグアイ,陸上隣接
ブラジル,ベネズエラ,陸上隣接
ブラジル,ペルー,陸上隣接
ブルガリア,ギリシャ,陸上隣接
ブルガリア,セルビア,陸上隣接
ブルガリア,トルコ,陸上隣接
ブルガリア,ルーマニア,陸上隣接
ブルガリア,北マケドニア,陸上隣接
ブルキナファソ,ガーナ,陸上隣接
ブルキナファソ,コートジボワール,陸上隣接
ブルキナファソ,トーゴ,陸上隣接
ブルキナファソ,ニジェール,陸上隣接
ブルキナファソ,マリ,陸上隣接
ブルネイ,フィリピン,海峡・近接海域
ブルネイ,マレーシア,陸上隣接
ブルンジ,コンゴ民主共和国,陸上隣接
ブルンジ,タンザニア,陸上隣接
ブルンジ,ルワンダ,陸上隣接
ブータン,インド,陸上隣接
ブータン,中国,陸上隣接
ベナン,トーゴ,陸上隣接
ベナン,ナイジェリア,陸上隣接
ベナン,ニジェール,陸上隣接
ベナン,ブルキナファソ,陸上隣接
ベラルーシ,ウクライナ,陸上隣接
ベラルーシ,ポーランド,陸上隣接
ベラルーシ,ラトビア,陸上隣接
ベラルーシ,リトアニア,陸上隣接
ベラルーシ,ロシア,陸上隣接
ベリーズ,グアテマラ,陸上隣接
ベリーズ,メキシコ,陸上隣接
ベルギー,オランダ,陸上隣接
ベルギー,ドイツ,陸上隣接
ベルギー,フランス,陸上隣接
ベルギー,ルクセンブルク,陸上隣接
ホンジュラス,エルサルバドル,陸上隣接
ホンジュラス,ニカラグア,陸上隣接
ボスニア・ヘルツェゴビナ,クロアチア,陸上隣接
ボスニア・ヘルツェゴビナ,セルビア,陸上隣接
ボスニア・ヘルツェゴビナ,モンテネグロ,陸上隣接
ボツワナ,ザンビア,陸上隣接
ボツワナ,ジンバブエ,陸上隣接
ボツワナ,ナミビア,陸上隣接
ボツワナ,南アフリカ,陸上隣接
ボリビア,チリ,陸上隣接
ボリビア,パラグアイ,陸上隣接
ボリビア,ブラジル,陸上隣接
ボリビア,ペルー,陸上隣接
ポーランド,ウクライナ,陸上隣接
ポーランド,スロバキア,陸上隣接
ポーランド,ロシア,陸上隣接
マダガスカル,セイシェル,海峡・近接海域
マダガスカル,モザンビーク,海峡・近接海域
マダガスカル,モーリシャス,海峡・近接海域
マラウイ,ザンビア,陸上隣接
マラウイ,タンザニア,陸上隣接
マリ,セネガル,陸上隣接
マリ,ニジェール,陸上隣接
マリ,モーリタニア,陸上隣接
マルタ,チュニジア,海峡・近接海域
マレーシア,シンガポール,海峡・近接海域
マレーシア,タイ,陸上隣接
マレーシア,フィリピン,海峡・近接海域
マーシャル諸島,ナウル,海峡・近接海域
ミクロネシア連邦,パラオ,海峡・近接海域
ミクロネシア連邦,マーシャル諸島,海峡・近接海域
ミャンマー,タイ,陸上隣接
メキシコ,アメリカ合衆国,陸上隣接
モザンビーク,エスワティニ,陸上隣接
モザンビーク,ザンビア,陸上隣接
モザンビーク,ジンバブエ,陸上隣接
モザンビーク,タンザニア,陸上隣接
モザンビーク,マラウイ,陸上隣接
モザンビーク,南アフリカ,陸上隣接
モルドバ,ウクライナ,陸上隣接
モルドバ,ルーマニア,陸上隣接
モンゴル,ロシア,陸上隣接
モンテネグロ,セルビア,陸上隣接
モーリタニア,セネガル,陸上隣接
ヨルダン,サウジアラビア,陸上隣接
ヨルダン,シリア,陸上隣接
ラオス,タイ,陸上隣接
ラオス,ベトナム,陸上隣接
ラオス,ミャンマー,陸上隣接
ラトビア,ロシア,陸上隣接
リトアニア,ポーランド,陸上隣接
リトアニア,ラトビア,陸上隣接
リトアニア,ロシア,陸上隣接
リビア,スーダン,陸上隣接
リビア,チャド,陸上隣接
リビア,チュニジア,陸上隣接
リビア,ニジェール,陸上隣接
リベリア,シエラレオネ,陸上隣接
ルワンダ,ウガンダ,陸上隣接
ルワンダ,タンザニア,陸上隣接
ルーマニア,ウクライナ,陸上隣接
ルーマニア,セルビア,陸上隣接
レソト,南アフリカ,陸上隣接
レバノン,シリア,陸上隣接
ロシア,アメリカ合衆国,海峡・近接海域
ロシア,ウクライナ,陸上隣接
中国,インド,陸上隣接
中国,カザフスタン,陸上隣接
中国,キルギスタン,陸上隣接
中国,タジキスタン,陸上隣接
中国,ネパール,陸上隣接
中国,パキスタン,陸上隣接
中国,ベトナム,陸上隣接
中国,ミャンマー,陸上隣接
中国,モンゴル,陸上隣接
中国,ラオス,陸上隣接
中国,ロシア,陸上隣接
中国,北朝鮮,陸上隣接
中国,日本,海峡・近接海域
中央アフリカ共和国,カメルーン,陸上隣接
中央アフリカ共和国,コンゴ共和国,陸上隣接
中央アフリカ共和国,コンゴ民主共和国,陸上隣接
中央アフリカ共和国,スーダン,陸上隣接
中央アフリカ共和国,チャド,陸上隣接
中央アフリカ共和国,南スーダン,陸上隣接
北マケドニア,セルビア,陸上隣接
北朝鮮,ロシア,陸上隣接
南アフリカ,ジンバブエ,陸上隣接
南スーダン,ウガンダ,陸上隣接
南スーダン,チャド,陸上隣接
日本,ロシア,海峡・近接海域
日本,韓国,海峡・近接海域
赤道ギニア,サントメ・プリンシペ,海峡・近接海域
韓国,北朝鮮,陸上隣接
